session_id,session_name,session_date,session_release,participant_ID,participant_birthdate,participant_gender,participant_race,participant_ethnicity,participant_disability,participant_language,exclusion_reason,group_name,task1_name,task1_description,task2_name,task2_description,task3_name,task3_description,task4_name,task4_description,task5_name,task5_description,task6_name,task6_description,task7_name,task7_description,task8_name,task8_description,context_setting,context_language,context_country,context_state,vol_id
42549,NA,2015-11-11,EXCERPTS,14030,2014-07-30,Male,More than one,Not Hispanic or Latino,typical,English,NA,15 mos,free play,NA,feeding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,English,US,NY,1042
42550,NA,2015-11-11,EXCERPTS,14031,2014-07-24,Female,Asian,Not Hispanic or Latino,typical,"English, Mandarin, Cantonese, French",NA,15 mos,free play,NA,feeding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,English,US,NY,1042
42551,NA,2015-11-12,EXCERPTS,8983,2014-10-22,Male,More than one,Not Hispanic or Latino,typical,English,NA,13 mos,background,NA,free play,NA,background,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,English,US,NY,1042
42552,NA,2015-11-13,EXCERPTS,14032,2014-07-25,Male,White,Not Hispanic or Latino,typical,English,NA,15 mos,free play,NA,feeding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,English,US,NY,1042
42553,NA,2015-11-18,EXCERPTS,14033,2014-08-10,Female,White,Not Hispanic or Latino,typical,"English, Swedish",NA,15 mos,free play,NA,feeding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,English,US,NY,1042
42554,NA,2015-11-18,EXCERPTS,14034,2014-08-17,Female,More than one,Not Hispanic or Latino,typical,"English, Korean",NA,15 mos,free play,NA,feeding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,English,US,NY,1042
42555,NA,2015-12-04,EXCERPTS,14036,2014-08-18,Male,White,Not Hispanic or Latino,typical,English,NA,15 mos,free play,NA,feeding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,English,US,NY,1042
42556,NA,2015-XX-XX,NA,14037,NA,Female,Black or African American,NA,typical,"English, Spanish, French",NA,15 mos,free play,NA,feeding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,English,US,NY,1042
42557,NA,2016-01-14,EXCERPTS,14038,2014-10-25,Male,White,Hispanic or Latino,typical,"English, Spanish",NA,15 mos,free play,NA,feeding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,English,US,NY,1042
42558,NA,2016-01-14,EXCERPTS,14039,2014-10-22,Male,More than one,Not Hispanic or Latino,typical,"English, Thai",Did not fall,15 mos,free play,NA,feeding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,English,US,NY,1042
42559,NA,2016-01-21,EXCERPTS,14040,2014-10-30,Female,White,Not Hispanic or Latino,typical,English,NA,15 mos,free play,NA,feeding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lab,English,US,NY,1042
