session_id,session_name,session_date,session_release,participant_ID,participant_birthdate,participant_gender,participant_race,participant_ethnicity,participant_disability,participant_language,group_name,context_setting,context_language,context_country,context_state,vol_id
51606,19 mos,2014-05-12,EXCERPTS,37,2012-09-29,Male,White,Hispanic or Latino,typical,English,Langone,Lab,English,US,NA,1273
51607,15 mos,2015-02-12,EXCERPTS,42,2013-11-12,Male,White,Not Hispanic or Latino,typical,English,Langone,Lab,English,US,NA,1273
51608,15 mos,2015-04-02,EXCERPTS,43,2013-12-07,Male,White,Not Hispanic or Latino,typical,English,Langone,Lab,English,US,NA,1273
51609,15 mos,2014-10-02,SHARED,44,2013-06-28,Female,White,Not Hispanic or Latino,typical,English,Langone,Lab,English,US,NA,1273
51610,15 mos,2014-10-06,SHARED,45,2013-07-22,Female,White,Hispanic or Latino,typical,English,Langone,Lab,English,US,NA,1273
51611,13 mos,2015-01-13,EXCERPTS,46,2013-12-13,Male,White,Not Hispanic or Latino,typical,English,Langone,Lab,English,US,NA,1273
51612,15 mos,2014-10-10,SHARED,48,2013-07-02,Male,White,Hispanic or Latino,typical,English,Langone,Lab,English,US,NA,1273
51613,15 mos,2014-10-16,EXCERPTS,51,2013-07-26,Female,White,Not Hispanic or Latino,typical,English,Langone,Lab,English,US,NA,1273
51614,15 mos,2014-10-23,EXCERPTS,53,2013-07-29,Female,White,Not Hispanic or Latino,typical,English,Langone,Lab,English,US,NA,1273
51615,15 mos,2014-10-23,EXCERPTS,54,2013-07-22,Male,White,Not Hispanic or Latino,typical,English,Langone,Lab,English,US,NA,1273
51616,15 mos,2014-10-24,EXCERPTS,55,2013-07-30,Female,White,Not Hispanic or Latino,typical,English,Langone,Lab,English,US,NA,1273
51617,15 mos,2014-10-24,EXCERPTS,56,2013-07-29,Female,White,Not Hispanic or Latino,typical,English,Langone,Lab,English,US,NA,1273
51618,15 mos,2014-10-27,EXCERPTS,57,2013-08-08,Male,More than one,Not Hispanic or Latino,typical,English,Langone,Lab,English,US,NA,1273
