"vol.id","session.id","asset.id","format","duration","permission","mimetype","extension"
5,6073,9110,-800,3973270,3,"video/mp4","mp4"
5,6074,11837,-800,3848512,3,"video/mp4","mp4"
5,6075,9114,-800,1703569,3,"video/mp4","mp4"
5,6076,9116,-800,4939135,3,"video/mp4","mp4"
5,6077,9118,-800,5667979,3,"video/mp4","mp4"
5,6078,11838,-800,5763723,3,"video/mp4","mp4"
5,6079,11839,-800,4254818,3,"video/mp4","mp4"
5,6080,11840,-800,5312307,3,"video/mp4","mp4"
5,6081,11841,-800,2585617,3,"video/mp4","mp4"
5,6082,11842,-800,2787318,3,"video/mp4","mp4"
5,6082,9130,-800,52887,3,"video/mp4","mp4"
5,6083,11843,-800,2543541,3,"video/mp4","mp4"
5,6083,9134,-800,922422,3,"video/mp4","mp4"
5,6084,11844,-800,6093922,3,"video/mp4","mp4"
5,6085,11845,-800,2602634,3,"video/mp4","mp4"
5,6086,9140,-800,5059955,3,"video/mp4","mp4"
5,6087,9142,-800,5291320,3,"video/mp4","mp4"
5,6088,11846,-800,4921317,3,"video/mp4","mp4"
5,6089,11847,-800,1433232,3,"video/mp4","mp4"
5,6090,11848,-800,3747244,3,"video/mp4","mp4"
5,6091,11849,-800,4844774,3,"video/mp4","mp4"
5,6092,11850,-800,3989519,3,"video/mp4","mp4"
5,6093,9154,-800,4200997,3,"video/mp4","mp4"
5,6094,11851,-800,5014243,3,"video/mp4","mp4"
5,6095,11852,-800,3438569,3,"video/mp4","mp4"
5,6096,11853,-800,5535998,3,"video/mp4","mp4"
5,6097,11854,-800,4638935,3,"video/mp4","mp4"
5,6099,9164,-800,3791221,3,"video/mp4","mp4"
5,6100,9166,-800,4374337,3,"video/mp4","mp4"
5,6101,11855,-800,2762727,3,"video/mp4","mp4"
5,6102,11856,-800,3787451,3,"video/mp4","mp4"
5,6103,11857,-800,3732763,3,"video/mp4","mp4"
5,6104,11858,-800,3745142,3,"video/mp4","mp4"
5,6105,9176,-800,3682046,3,"video/mp4","mp4"
5,6106,9178,-800,3672136,3,"video/mp4","mp4"
